q,i_of_q
0.005,75.5230642721
0.00638554216867,74.943056299
0.00777108433735,74.2296439822
0.00915662650602,73.387756406
0.0105421686747,72.4231689365
0.0119277108434,71.3424423977
0.013313253012,70.1528543563
0.0146987951807,68.8623233964
0.0160843373494,67.4793273504
0.0174698795181,66.0128165233
0.0188554216867,64.4721230039
0.0202409638554,62.8668671971
0.0216265060241,61.2068627364
0.0230120481928,59.502020943
0.0243975903614,57.7622559908
0.0257831325301,55.997391911
0.0271686746988,54.2170725323
0.0285542168675,52.4306753943
0.0299397590361,50.6472306085
0.0313253012048,48.8753455546
0.0327108433735,47.1231362124
0.0340963855422,45.3981658233
0.0354819277108,43.7073914681
0.0368674698795,42.0571190296
0.0382530120482,40.4529668878
0.0396385542169,38.8998385712
0.0410240963855,37.4019044642
0.0424096385542,35.9625925454
0.0437951807229,34.5845880125
0.0451807228916,33.2698415327
0.0465662650602,32.0195857479
0.0479518072289,30.8343595632
0.0493373493976,29.7140396523
0.0507228915663,28.6578785343
0.0521084337349,27.6645485028
0.0534939759036,26.7321906315
0.0548795180723,25.8584680328
0.056265060241,25.0406225158
0.0576506024096,24.2755337688
0.0590361445783,23.5597801861
0.060421686747,22.8897004662
0.0618072289157,22.2614551288
0.0631927710843,21.6710871283
0.064578313253,21.1145807855
0.0659638554217,20.5879183123
0.0673493975904,20.0871332652
0.068734939759,19.6083603346
0.0701204819277,19.1478809509
0.0715060240964,18.7021642748
0.0728915662651,18.2679032161
0.0742771084337,17.8420452225
0.0756626506024,17.4218176581
0.0770481927711,17.004747687
0.0784337349398,16.5886766564
0.0798192771084,16.1717690601
0.0812048192771,15.7525162368
0.0825903614458,15.3297350343
0.0839759036145,14.9025617305
0.0853614457831,14.4704415651
0.0867469879518,14.0331142826
0.0881325301205,13.5905961305
0.0895180722892,13.143158788
0.0909036144578,12.6913057254
0.0922891566265,12.2357465076
0.0936746987952,11.7773695621
0.0950602409639,11.3172139268
0.0964457831325,10.8564404848
0.0978313253012,10.3963031702
0.0992168674699,9.93812060741
0.100602409639,9.48324860914
0.101987951807,9.03305392591
0.103373493976,8.58888959215
0.104759036145,8.15207217155
0.106144578313,7.72386115358
0.107530120482,7.30544070349
0.108915662651,6.89790391594
0.110301204819,6.50223967199
0.111686746988,6.11932214828
0.113072289157,5.74990297946
0.114457831325,5.39460602885
0.115843373494,5.05392468012
0.117228915663,4.72822152419
0.118614457831,4.41773028153
0.12,4.12255977044
0.121385542169,3.84269970815
0.122771084337,3.57802811182
0.124156626506,3.32832005357
0.125542168675,3.09325751461
0.126927710843,2.8724400809
0.128313253012,2.66539622383
0.129698795181,2.47159491642
0.131084337349,2.29045734573
0.132469879518,2.12136849695
0.133855421687,1.9636884023
0.135240963855,1.81676286885
0.136626506024,1.67993352206
0.138012048193,1.55254702686
0.139397590361,1.43396337373
0.14078313253,1.32356314377
0.142168674699,1.22075369311
0.143554216867,1.12497422309
0.144939759036,1.03569972753
0.146325301205,0.952443831793
0.147710843373,0.874760560317
0.149096385542,0.802245088661
0.150481927711,0.734533553239
0.15186746988,0.671302006487
0.153253012048,0.612264616869
0.154638554217,0.557171221978
0.156024096386,0.505804348981
0.157409638554,0.4579758198
0.158795180723,0.413523058813
0.160180722892,0.37230521872
0.16156626506,0.334199235648
0.162951807229,0.299095917882
0.164337349398,0.266896164027
0.165722891566,0.237507396285
0.167108433735,0.210840283065
0.168493975904,0.18680581285
0.169879518072,0.165312768214
0.171265060241,0.146265635667
0.17265060241,0.129562973727
0.174036144578,0.115096248726
0.175421686747,0.102749135486
0.176807228916,0.0923972685335
0.178192771084,0.0839084190337
0.179578313253,0.0771430634143
0.180963855422,0.0719553017881
0.18234939759,0.0681940778899
0.183734939759,0.0657046474011
0.185120481928,0.0643302382523
0.186506024096,0.0639138447714
0.187891566265,0.0643000973308
0.189277108434,0.0653371503733
0.190662650602,0.0668785342499
0.192048192771,0.0687849200567
0.19343373494,0.0709257514576
0.194819277108,0.073180703162
0.196204819277,0.0754409321001
0.197590361446,0.0776100942326
0.198975903614,0.0796051071345
0.200361445783,0.0813566458361
0.201746987952,0.0828093666935
0.20313253012,0.0839218611227
0.204518072289,0.0846663477206
0.205903614458,0.0850281174485
0.207289156627,0.0850047520717
0.208674698795,0.0846051408029
0.210060240964,0.0838483240378
0.211445783133,0.0827621961102
0.212831325301,0.0813821011326
0.21421686747,0.0797493571848
0.215602409639,0.0779097444103
0.216987951807,0.0759119919866
0.218373493976,0.0738062975312
0.219759036145,0.0716429103345
0.221144578313,0.0694708069856
0.222530120482,0.0673364845551
0.223915662651,0.065282892641
0.225301204819,0.0633485213791
0.226686746988,0.0615666580838
0.228072289157,0.0599648206379
0.229457831325,0.058564371209
0.230843373494,0.0573803094388
0.232228915663,0.0564212400403
0.233614457831,0.0556895058315
0.235,0.0551814737226
0.236385542169,0.0548879581165
0.237771084337,0.0547947636422
0.239156626506,0.0548833271485
0.240542168675,0.0551314374778
