Sample description: 
Sample:   c= 0 mg/ml  Code: 
 3.950000e-001  1.209810e+000  7.762000e-002
 4.000000e-001  1.184630e+000  1.570800e-001
 4.050000e-001  1.168680e+000  7.035000e-002
 4.100000e-001  1.133330e+000  6.109000e-002
 4.150000e-001  1.107310e+000  1.555300e-001
 4.200000e-001  1.055230e+000  9.285000e-002
 4.250000e-001  1.039930e+000  6.394000e-002
 4.300000e-001  9.964200e-001  8.504000e-002
 4.350000e-001  9.495200e-001  8.935000e-002
 4.400000e-001  9.278400e-001  1.234200e-001
 4.450000e-001  8.815000e-001  1.277400e-001
 4.500000e-001  8.695700e-001  9.144000e-002
 4.550000e-001  8.144200e-001  6.611000e-002
 4.600000e-001  8.132900e-001  7.693000e-002
 4.650000e-001  8.050500e-001  1.127000e-001
 4.700000e-001  7.951200e-001  8.846000e-002
 4.750000e-001  7.583500e-001  9.356000e-002
 4.800000e-001  7.640900e-001  6.481000e-002
 4.850000e-001  7.377000e-001  7.749000e-002
 4.900000e-001  7.113700e-001  8.646000e-002
 4.950000e-001  7.324400e-001  6.358000e-002
 5.012500e-001  7.330400e-001  5.703500e-001
 5.100000e-001  7.068200e-001  5.119000e-002
 5.200000e-001  7.113300e-001  4.610000e-002
 5.300000e-001  7.210900e-001  5.832000e-002
 5.400000e-001  7.450400e-001  5.528000e-002
 5.500000e-001  7.584900e-001  5.953000e-002
 5.600000e-001  7.564000e-001  7.861000e-002
 5.700000e-001  7.879100e-001  7.216000e-002
 5.800000e-001  8.103900e-001  7.106000e-002
 5.900000e-001  8.360700e-001  6.490000e-002
 6.000000e-001  8.224000e-001  5.664000e-002
 6.100000e-001  8.334400e-001  4.864000e-002
 6.200000e-001  8.234500e-001  8.476000e-002
 6.300000e-001  8.337100e-001  7.803000e-002
 6.400000e-001  8.481300e-001  5.492000e-002
 6.500000e-001  8.338700e-001  5.140000e-002
 6.600000e-001  7.910200e-001  7.594000e-002
 6.700000e-001  8.052700e-001  7.880000e-002
 6.800000e-001  7.477500e-001  1.327000e-001
 6.900000e-001  6.865900e-001  5.317000e-002
 7.000000e-001  6.596800e-001  5.143000e-002
 7.100000e-001  6.037000e-001  5.733000e-002
 7.200000e-001  5.484800e-001  7.601000e-002
 7.300000e-001  5.378500e-001  4.469000e-002
 7.400000e-001  4.988800e-001  4.424000e-001
 7.500000e-001  5.099600e-001  5.296000e-002
 7.600000e-001  4.607500e-001  6.271000e-002
 7.700000e-001  4.160200e-001  1.165700e-001
 7.800000e-001  4.267700e-001  5.636000e-002
 7.900000e-001  4.415500e-001  6.038000e-002
 8.000000e-001  3.789500e-001  5.903000e-002
 8.100000e-001  3.676600e-001  6.517000e-002
 8.200000e-001  3.938200e-001  5.896000e-002
 8.300000e-001  3.518600e-001  5.976000e-002
 8.400000e-001  3.322200e-001  5.392000e-002
 8.500000e-001  3.838300e-001  6.506000e-002
 8.600000e-001  3.411600e-001  6.721000e-002
 8.700000e-001  3.607400e-001  5.786000e-002
 8.800000e-001  3.604600e-001  5.104000e-002
 8.900000e-001  3.455000e-001  6.356000e-002
 9.000000e-001  3.719300e-001  5.774000e-002
 9.100000e-001  3.605800e-001  5.593000e-002
 9.200000e-001  3.113200e-001  7.670000e-002
 9.300000e-001  2.875400e-001  5.172000e-002
 9.400000e-001  3.161600e-001  6.313000e-002
 9.500000e-001  3.236300e-001  1.854400e-001
 9.600000e-001  3.342400e-001  5.604000e-002
 9.700000e-001  3.234300e-001  4.996000e-002
 9.800000e-001  3.522400e-001  6.952000e-002
 9.900000e-001  3.631700e-001  7.370000e-002
 1.005000e+000  3.447500e-001  5.444000e-002
 1.030000e+000  3.189800e-001  4.578000e-002
 1.060000e+000  3.426900e-001  4.880000e-002
 1.090000e+000  3.127700e-001  5.328000e-002
 1.120000e+000  3.469400e-001  8.428000e-002
 1.150000e+000  3.424700e-001  7.435000e-002
 1.180000e+000  3.643100e-001  9.512000e-002
 1.210000e+000  3.956100e-001  7.944000e-002
 1.240000e+000  4.168800e-001  8.327000e-002
 1.270000e+000  4.669600e-001  1.893200e-001
 1.300000e+000  5.078400e-001  9.651000e-002
 1.330000e+000  5.548700e-001  9.972000e-002
 1.360000e+000  6.261100e-001  1.106200e-001
 1.390000e+000  6.027300e-001  1.107200e-001
 1.420000e+000  6.153800e-001  1.020700e-001
 1.450000e+000  5.990200e-001  1.046600e-001
 1.480000e+000  5.851800e-001  1.018900e-001
 1.510000e+000  5.335200e-001  1.051000e-001
 1.540000e+000  4.654400e-001  1.070600e-001
 1.570000e+000  4.109400e-001  1.162300e-001
 1.600000e+000  3.625700e-001  2.624500e-001
 1.630000e+000  2.956300e-001  1.166500e-001
 1.660000e+000  2.381800e-001  1.462000e-001
 1.690000e+000  7.037000e-002  1.286400e-001
 1.720000e+000  6.100000e-002  1.368400e-001
range-from: 1
range-to: 222
transmitted beam intensity from WAXS (q~1.74): 1907.740982
